Quantity,Part Number,Customer Reference,Description
20,ERA-8AEB103V,R 10k 0.1%,RES 10.0K OHM 0.1% 1/4W 1206 THIN FILM - PITCH SETTING
5,ERA-8AEB102V,R 1k 0.1%,RES 1.00K OHM 0.1% 1/4W 1206 THIN FILM - LADDER SEGMENT
4,ERA-8AEB302V,R 3k 0.1%,RES 3.00K OHM 0.1% 1/4W 1206 THIN FILM - E24 LADDER BOTTOM
2,ERA-8AEB123V,R 12k 0.1%,RES 12.0K OHM 0.1% 1/4W 1206 THIN FILM - E24 OCT LADDER MATCHED PAIR
1,ERA-8AEB203V,R 20k 0.1%,RES 20.0K OHM 0.1% 1/4W 1206 THIN FILM - INPUT SUMMER GAIN
5,RC1206FR-071KL,R 1k 1%,RES 1.00K OHM 1% 1/4W 1206 - OUTPUT SERIES PROTECTION
4,CRCW120649K9FKEA,R 49k9 1%,RES 49.9K OHM 1% 1/4W 1206 - REFERENCE DIVIDER TRIMMED
4,RC1206FR-07619RL,R 619R 1%,RES 619 OHM 1% 1/4W 1206 - BUFFER OUTPUT SNUBBER
2,RC1206FR-0724K3L,R 24k3 1%,RES 24.3K OHM 1% 1/4W 1206 - LADDER TOP ABSORBED BY TRIM
1,RC1206FR-0722K6L,R 22k6 1%,RES 22.6K OHM 1% 1/4W 1206 - LADDER TOP ABSORBED BY TRIM
1,RC1206FR-075K49L,R 5k49 1%,RES 5.49K OHM 1% 1/4W 1206 - LADDER TOP ABSORBED BY TRIM
7,C1206C104K5RACTU,C 0.1uF,CAP CER 0.1UF 50V X7R 1206 SMD
4,C1206C331J5GACTU,C 330pF,CAP CER 330PF 50V C0G NP0 1206 SMD
2,C1206C334K5RACTU,C 0.33uF,CAP CER 0.33UF 50V X7R 1206 SMD
2,C1206C101J5GACTU,C 100pF,CAP CER 100PF 50V C0G NP0 1206 SMD
1,C1206C103K5RACTU,C 0.01uF,CAP CER 0.01UF 50V X7R 1206 SMD
4,ECA-1VM100,C 10uF C1 C3 C9 C10,CAP ALUM 10UF 35V RADIAL 5MM DIA 2MM PITCH - LAY C9 AND C10 FLAT
3,OPA4196ID,IC OPA4196,IC OPAMP QUAD RAIL-TO-RAIL 14-SOIC TUBE
1,L78L05ACZ,IC 78L05,IC REG LINEAR 5V 100MA TO-92
1,L79L05ACZ,IC 79L05,IC REG LINEAR -5V 100MA TO-92
2,1N5819-T,D 1N5819,DIODE SCHOTTKY 40V 1A DO-41 THROUGH HOLE
4,3296W-1-102LF,RV 1k TRIM,TRIMMER 1K OHM 25 TURN TOP ADJUST PC PINS
2,3296W-1-503LF,RV 50k TRIM,TRIMMER 50K OHM 25 TURN TOP ADJUST PC PINS
4,200MSP3T2B1M2QE,SW1-SW4 SPDT,SWITCH TOGGLE SPDT ON-OFF-ON 10-48 BUSHING PC PIN
1,200MSP1T1B1M2QEH,SW5 SPDT,SWITCH TOGGLE SPDT ON-ON 10-48 BUSHING PC PIN
1,SBH11-PBPC-D05-ST-BK,P1 POWER,CONN HEADER SHROUDED 2X5 2.54MM EURORACK POWER KEYED
1,PRPC040SAAN-RC,P2-P5 PINS,CONN HEADER 1X40 2.54MM BREAKAWAY - SNAP INTO 4X 1X6
4,PPTC061LFBN-RC,P6-P9 SKT,CONN HEADER FEMALE 1X6 2.54MM - 8.51MM BODY SETS BOARD SPACING
